Region,Pre-COVID Rate (%),Post-COVID Rate (%),Change (pp),P-value,Significant
New England,39.324374766704,37.32451267548733,-1.9998620912166698,0.0005922177362220893,True
Middle Atlantic,43.102579604997985,41.313651623484795,-1.7889279815131942,3.203298704623769e-05,True
East North Central,44.54116039333353,42.482179734861106,-2.058980658472426,1.033332752697902e-09,True
West North Central,44.88949174180165,44.648151808657836,-0.2413399331438082,0.6693752295024009,False
South Atlantic,42.44980049956207,42.01525145417606,-0.43454904538601236,0.19616642622671554,False
East South Central,46.717498061514604,47.348999805787535,0.6315017442729332,0.36369694488905413,False
West South Central,45.77592119209427,46.58885776532835,0.8129365732340799,0.09174351742674114,False
Mountain,39.29073033707865,39.93540843031349,0.6446780932348406,0.31612741469715533,False
Pacific,38.62412919569348,37.92217604835663,-0.7019531473368479,0.18144833990686093,False
