Region,MVD,SRS,Rhizotomy,Botox
New England,0.2721295057726965,0.5363645065619587,0.03675713942800424,0.10822521838918997
Middle Atlantic,0.052489331776115096,-0.15728671446469752,0.1313236536789308,0.18381685897777356
East North Central,0.10577747476039137,0.009452383186526721,0.06567166490788132,0.5218689622163952
West North Central,0.12290226267567643,-0.0844846103617937,-0.33091212040694884,0.31851748505905275
South Atlantic,0.15995694475873357,0.1879674099932261,-0.18174664396087056,0.27880604125399444
East South Central,0.1569469994056499,0.45347783129175995,-0.15420540270073296,-0.03142252994811642
West South Central,0.10646027432316738,0.39816967306212264,-0.5508926489037469,0.058044984382624606
Mountain,-0.06641415120959039,0.3609351398201439,-0.2682491204998151,-0.22435231685656049
Pacific,0.21422318286405917,-0.18120337935593556,-0.059475004025492245,0.11757129188755042
